t,large,medium,small
551,13,16,15
552,13,16,15
553,12,14,13
554,10,12,11
555,9,9,9
556,8,7,6
557,7,5,5
558,6,5,4
559,6,5,3
560,6,5,4
561,7,5,4
562,7,6,4
563,6,5,4
564,7,5,3
565,6,5,4
566,7,5,3
567,7,6,4
568,7,6,4
569,7,6,4
570,7,6,4
571,7,6,4
572,7,6,4
573,7,6,4
574,7,6,4
575,7,6,4
576,7,6,4
577,7,6,4
578,7,6,4
579,7,5,4
580,7,6,4
581,7,6,4
582,7,5,4
583,7,6,5
584,7,6,4
585,7,6,5
586,7,6,4
587,8,6,4
588,7,6,4
589,7,6,4
590,7,6,4
591,7,6,4
592,7,6,5
593,7,6,4
594,7,6,4
595,7,6,4
596,7,6,4
597,7,6,4
598,7,6,4
599,7,6,4
600,7,6,4
601,7,6,4
602,7,6,4
603,7,6,4
604,7,6,5
605,7,6,4
606,7,6,4
607,7,6,4
608,7,6,4
609,7,6,4
610,7,6,4
611,7,6,5
612,7,6,4
613,7,6,4
614,7,6,4
615,6,6,4
616,7,6,4
617,6,5,4
618,7,5,3
619,6,5,3
620,6,5,4
621,6,5,4
622,6,4,5
623,7,6,6
624,7,7,8
625,8,10,10
626,10,12,12
627,11,14,13
628,10,13,12
629,10,11,11
630,8,9,9
631,7,7,7
632,6,5,5
633,5,4,4
634,5,4,3
635,5,4,3
636,6,5,3
637,5,4,3
638,5,4,3
639,5,4,3
640,6,4,3
641,5,5,3
642,5,5,3
643,6,5,3
644,5,4,3
645,5,5,4
646,6,5,3
647,5,5,3
648,6,5,3
649,6,5,3
650,6,4,3
651,6,5,3
652,6,5,3
653,5,5,4
654,6,5,4
655,6,5,4
656,6,5,3
657,6,5,4
658,6,5,4
659,6,5,3
660,6,5,4
661,6,5,3
